gvkey,datadate,portfolio_date,fyear,tic,cusip,conm,at,lt,book_equity,sales,gross_profit,operating_profit,gross_profitability,operating_profitability,asset_growth,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
001742,2020-12-31,2021-06-30,2020.0,PNW1,040555005,ARIZONA PUBLIC SERVICE CO,19924.251,13579.066,8560.94,3586.982,1416.304,1416.304,0.07108442871955388,0.16543790751950135,,6225.895,6225.895,2335.045,0.0,0.0,0.0,3586.982,3586.982,2170.678,,,1345.114,929.067,568.028,614.293
001743,2020-12-31,2021-06-30,2020.0,ARCB,03937C105,ARCBEST CORP,1779.008,950.415,901.0,2940.163,213.36000000000013,213.36000000000013,0.1199320070511207,0.23680355160932312,,828.593,828.593,72.407,0.0,0.0,0.0,2940.163,2940.163,2726.803,,,57.489,205.989,71.1,118.391
001745,2020-12-31,2021-06-30,2020.0,ETR1,29364D001,ENTERGY ARKANSAS,12100.131,8823.962,4592.7919999999995,2084.494,813.9060000000002,813.9060000000002,0.06726423044510842,0.17721377323423318,,3276.169,3276.169,1316.623,0.0,0.0,0.0,2084.494,2084.494,1270.588,,,861.254,659.818,245.232,411.348
001773,2020-12-31,2021-06-30,2020.0,ARW,042735100,ARROW ELECTRONICS INC,17053.911,11904.959,5413.473,28673.363,3191.130000000001,1102.284000000001,0.18712012745932596,0.20361863816444656,,5089.319,5089.319,324.154,0.0,0.0,0.0,28673.363,28673.363,25482.233,2088.846,0.0,123.585,1359.843,584.438,189.058
001783,2020-11-30,2021-05-31,2020.0,ARTW,043168103,ARTS WAY MFG INC,18.803,8.896,9.907,22.409,3.218,-2.875,0.17114290272828803,-0.29019884929847584,,9.907,9.907,0.0,0.0,0.0,0.0,22.409,22.409,19.191,6.093,0.199,0.693,-0.856,-2.103,0.818
001794,2020-09-30,2021-03-31,2020.0,ASH,044186104,ASHLAND INC,6877.0,3841.0,3265.0,2326.0,916.0,487.0,0.13319761523920315,0.14915773353751915,,3036.0,3036.0,229.0,0.0,0.0,0.0,2326.0,2326.0,1410.0,429.0,64.0,138.0,203.0,-491.0,248.0
001820,2020-01-31,2020-07-31,2019.0,ALOT,04638F108,ASTRONOVA INC,116.664,45.289,71.81,133.446,55.042,8.716999999999999,0.47179935541383805,0.12138977858237013,,71.375,71.375,0.435,0.0,0.0,0.0,133.446,133.446,78.404,46.325,8.084,2.906,3.224,1.759,6.284
001823,2020-12-31,2021-06-30,2020.0,ATRO,046433108,ASTRONICS CORP,619.745,349.374,273.28,502.587,127.243,16.71499999999999,0.2053150892705871,0.061164373536299735,,270.371,270.371,2.909,0.0,0.0,0.0,502.587,502.587,375.344,110.528,86.8,7.459,37.335,-115.781,30.4
001828,2020-12-31,2021-06-30,2020.0,ACLLF,046789400,ATCO LTD,22200.0,14351.0,5495.0,3944.0,1778.0,1778.0,0.08009009009009009,0.3235668789808917,,4052.0,4052.0,1443.0,0.0,0.0,0.0,3944.0,3944.0,2166.0,,,940.0,1843.0,252.0,682.0
001837,2020-12-31,2021-06-30,2020.0,SO7,84399X001,SOUTHERN CO GAS,22630.0,12863.0,11032.0,3434.0,1312.0,1312.0,0.05797613787008396,0.11892675852066716,,9767.0,9767.0,1265.0,0.0,,0.0,3434.0,3434.0,2122.0,,,1471.0,1207.0,590.0,500.0
