permno,permco,month,date,ticker,ncusip,shrcd,exchcd,siccd,ret,retx,ret_adj,shrout,price,market_equity,vol,prc
15534,55365,2020-04-30,2020-04-30,NTRA,63230710,11,3,9999,0.240455,0.240455,0.240455,78652.0,37.04,2913.2700800000002,265375.0,37.04
15534,55365,2020-05-31,2020-05-29,NTRA,63230710,11,3,9999,0.183855,0.183855,0.183855,78725.0,43.85,3452.09125,188708.0,43.85
15534,55365,2020-06-30,2020-06-30,NTRA,63230710,11,3,9999,0.137058,0.137058,0.137058,79717.0,49.86,3974.68962,180456.0,49.86
15534,55365,2020-07-31,2020-07-31,NTRA,63230710,11,3,9999,-0.036903,-0.036903,-0.036903,79888.0,48.02,3836.2217600000004,138140.0,48.02
15534,55365,2020-08-31,2020-08-31,NTRA,63230710,11,3,9999,0.326739,0.326739,0.326739,79888.0,63.71,5089.66448,149102.0,63.71
15534,55365,2020-09-30,2020-09-30,NTRA,63230710,11,3,9999,0.133888,0.133888,0.133888,85281.0,72.24,6160.699439999999,210899.0,72.24
15534,55365,2020-10-31,2020-10-30,NTRA,63230710,11,3,9999,-0.068937,-0.068937,-0.068937,85370.0,67.26,5741.9862,106251.0,67.26
15534,55365,2020-11-30,2020-11-30,NTRA,63230710,11,3,9999,0.31237,0.31237,0.31237,85370.0,88.27,7535.6098999999995,114279.0,88.27
15534,55365,2020-12-31,2020-12-31,NTRA,63230710,11,3,9999,0.12745,0.12745,0.12745,86223.0,99.52,8580.91296,179345.0,99.52
15535,55366,2020-01-31,2020-01-31,OLLI,68111610,11,3,9999,-0.187873,-0.187873,-0.187873,63014.0,53.04,3342.26256,301407.0,53.04
15535,55366,2020-02-29,2020-02-28,OLLI,68111610,11,3,9999,-0.040913,-0.040913,-0.040913,63014.0,50.87,3205.5221799999995,340686.0,50.87
15535,55366,2020-03-31,2020-03-31,OLLI,68111610,11,3,9999,-0.089051,-0.089051,-0.089051,63749.0,46.34,2954.1286600000003,464762.0,46.34
15535,55366,2020-04-30,2020-04-30,OLLI,68111610,11,3,9999,0.465473,0.465473,0.465473,63798.0,67.91,4332.52218,343977.0,67.91
15535,55366,2020-05-31,2020-05-29,OLLI,68111610,11,3,9999,0.346635,0.346635,0.346635,65753.0,91.45,6013.11185,340557.0,91.45
15535,55366,2020-06-30,2020-06-30,OLLI,68111610,11,3,9999,0.067797,0.067797,0.067797,63798.0,97.65,6229.8747,315626.0,97.65
15535,55366,2020-07-31,2020-07-31,OLLI,68111610,11,3,9999,0.076293,0.076293,0.076293,65307.0,105.1,6863.765699999999,286637.0,105.1
15535,55366,2020-08-31,2020-08-31,OLLI,68111610,11,3,9999,-0.090961,-0.090961,-0.090961,65376.0,95.54,6246.02304,263043.0,95.54
15535,55366,2020-09-30,2020-09-30,OLLI,68111610,11,3,9999,-0.085723,-0.085723,-0.085723,65376.0,87.35,5710.593599999999,182494.0,87.35
15535,55366,2020-10-31,2020-10-30,OLLI,68111610,11,3,9999,-0.002977,-0.002977,-0.002977,65419.0,87.09,5697.34071,123580.0,87.09
15535,55366,2020-11-30,2020-11-30,OLLI,68111610,11,3,9999,0.011138,0.011138,0.011138,65419.0,88.06,5760.797140000001,166912.0,88.06
15535,55366,2020-12-31,2020-12-31,OLLI,68111610,11,3,9999,-0.071429,-0.071429,-0.071429,65418.0,81.77,5349.2298599999995,319531.0,81.77
15537,5225,2020-01-31,2020-01-31,ALOT,04638F10,11,3,3577,-0.093295,-0.093295,-0.093295,7062.0,12.44,87.85128,6723.0,12.44
15537,5225,2020-02-29,2020-02-28,ALOT,04638F10,11,3,3577,-0.12701,-0.12701,-0.12701,7062.0,10.86,76.69331999999999,4358.0,10.86
15537,5225,2020-03-31,2020-03-31,ALOT,04638F10,11,3,3577,-0.279005,-0.285451,-0.279005,7062.0,7.76,54.80112,12748.0,7.76
15537,5225,2020-04-30,2020-04-30,ALOT,04638F10,11,3,3577,-0.094072,-0.094072,-0.094072,7097.0,7.03,49.89191,7748.0,7.03
15537,5225,2020-05-31,2020-05-29,ALOT,04638F10,11,3,3577,-0.085349,-0.085349,-0.085349,7084.0,6.43,45.55011999999999,8879.0,6.43
15537,5225,2020-06-30,2020-06-30,ALOT,04638F10,11,3,3577,0.237947,0.237947,0.237947,7163.0,7.96,57.017480000000006,17688.0,7.96
15537,5225,2020-07-31,2020-07-31,ALOT,04638F10,11,3,3577,-0.135678,-0.135678,-0.135678,7117.0,6.88,48.96496,6119.0,6.88
15537,5225,2020-08-31,2020-08-31,ALOT,04638F10,11,3,3577,-0.004361,-0.004361,-0.004361,7117.0,6.85,48.75145,2085.0,6.85
15537,5225,2020-09-30,2020-09-30,ALOT,04638F10,11,3,3577,0.170803,0.170803,0.170803,7168.0,8.02,57.48736,5503.0,8.02
15537,5225,2020-10-31,2020-10-30,ALOT,04638F10,11,3,3577,-0.014963,-0.014963,-0.014963,7122.0,7.9,56.2638,2224.0,7.9
15537,5225,2020-11-30,2020-11-30,ALOT,04638F10,11,3,3577,0.26962,0.26962,0.26962,7122.0,10.03,71.43365999999999,2721.0,10.03
15537,5225,2020-12-31,2020-12-31,ALOT,04638F10,11,3,3577,0.061815,0.061815,0.061815,7170.0,10.65,76.3605,2941.0,10.65
15539,55368,2020-01-31,2020-01-31,PVBC,74383L10,11,3,9999,-0.051406,-0.051406,-0.051406,19476.0,11.81,230.01156,13262.0,11.81
15539,55368,2020-02-29,2020-02-28,PVBC,74383L10,11,3,9999,-0.069433,-0.069433,-0.069433,19476.0,10.99,214.04124,21540.0,10.99
15539,55368,2020-03-31,2020-03-31,PVBC,74383L10,11,3,9999,-0.215651,-0.215651,-0.215651,19476.0,8.62,167.88312,22305.0,8.62
15539,55368,2020-04-30,2020-04-30,PVBC,74383L10,11,3,9999,0.110209,0.106729,0.110209,19476.0,9.54,185.80103999999997,11612.0,9.54
15539,55368,2020-05-31,2020-05-29,PVBC,74383L10,11,3,9999,-0.106918,-0.106918,-0.106918,19476.0,8.52,165.93552,7685.0,8.52
15539,55368,2020-06-30,2020-06-30,PVBC,74383L10,11,3,9999,-0.077465,-0.077465,-0.077465,19472.0,7.86,153.04992000000001,9234.0,7.86
15539,55368,2020-07-31,2020-07-31,PVBC,74383L10,11,3,9999,0.002545,-0.001272,0.002545,19472.0,7.85,152.8552,7617.0,7.85
