gvkey,datadate,fyear,tic,cusip,conm,at,lt,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
016549,2020-12-31,2020,SFBS,81768T108,SERVISFIRST BANCSHARES INC,11932.654,10939.802,992.352,992.352,,0.0,0.0,0.0,419.138,419.138,93.419,71.484,,2.305,191.29,169.569,4.103
016560,2020-12-31,2020,AWCMY,022205108,ALUMINA LTD,1796.7,62.1,1734.6,1734.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,,0.0,154.4,146.6,
016564,2020-09-30,2020,GLAI,93208X201,GLOBAL AI INC,0.015,0.097,-0.082,-0.082,0.0,0.0,0.0,0.0,0.08,0.08,0.063,,,0.0,0.0,0.013,0.0
016571,2020-12-31,2020,AEF,00301W105,ABRDN EMERGING MKT EX-CHN FD,,,,,,,,,,,,,,,,,
016579,2020-11-30,2020,MCR,552727109,MFS CHARTER INCOME TR,,,,,,,,,,,,,,,,,
016582,2020-12-31,2020,NTR,67077M108,NUTRIEN LTD,47192.0,24827.0,22365.0,22365.0,3149.0,0.0,0.0,0.0,20908.0,20908.0,15165.0,2868.0,,1423.0,3323.0,459.0,2014.0
016590,2020-12-31,2020,HGKGY,739197200,POWER ASSETS HOLDINGS LTD,12067.863,1133.362,10934.501,10934.501,7.353,0.0,0.0,0.0,0.0,0.0,19.349,,,0.258,124.094,791.005,0.516
016597,2020-12-31,2020,LSCC,518415104,LATTICE SEMICONDUCTOR CORP,680.067,295.64,384.427,384.427,1.746,0.0,0.0,0.0,408.12,408.12,151.014,184.43,89.223,12.121,91.687,47.392,16.373
016603,2020-12-31,2020,NSRGY,641069406,NESTLE SA/AG,137651.706,86028.432,50714.312,50714.312,2925.548,0.0,0.0,0.0,93982.682,93982.682,44590.195,30663.875,1749.114,4523.723,15956.224,13575.609,3100.903
016607,2020-12-31,2020,PHDG,46090A705,INVESCO S&P 500 DWNSD HG ETF,,,,,,,,,,,,,,,,,
016608,2020-12-31,2020,WHF,96524V106,WHITEHORSE FINANCE INC,718.989,406.092,312.897,312.897,0.0,0.0,0.0,0.0,61.699,61.699,24.417,,,0.0,-64.596,31.685,0.0
016611,2020-12-31,2020,POTRF,83577W108,SOPERIOR FERTILIZER CORP,0.321,4.357,-4.036,-4.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.161,,0.0,-0.516,-2.001,0.0
016641,2020-12-31,2020,GHI,02364V206,GREYSTONE HSG IMPT INVTS LP,1175.248,721.054,454.194,359.772,,94.422,94.422,94.422,55.529,55.529,4.347,21.257,,0.417,15.841,7.209,2.81
016653,2020-12-31,2020,TMHC,87724P106,TAYLOR MORRISON HOME CORP,7737.995,4144.245,3504.541,3504.541,0.0,0.0,0.0,0.0,6129.32,6129.32,5085.101,566.075,,37.76,1123.282,243.439,6.3
016654,2020-12-31,2020,NID,670671106,NUVEEN INTER DURATION MUNI,,,,,,,,,,,,,,,,,
016668,2020-12-31,2020,AROW,042744102,ARROW FINANCIAL CORP,3688.636,3354.244,334.392,334.392,,0.0,0.0,0.0,144.554,144.554,22.013,47.675,,5.132,42.314,40.827,6.867
016671,2020-12-31,2020,AAME,048209100,ATLANTIC AMERICAN CORP,405.187,260.127,145.06,145.005,1.301,5.5,0.055,0.055,195.348,195.348,177.255,,,0.233,8.971,12.169,0.98
016689,2020-06-30,2020,NBN,66405S100,NORTHEAST BANK,1257.635,1092.896,164.739,164.739,,0.0,0.0,0.0,96.868,96.868,23.197,28.564,,1.155,16.307,22.737,2.952
016698,2020-12-31,2020,BMTC,117665109,BRYN MAWR BANK CORP,5432.022,4809.7,623.092,623.092,,0.0,0.0,0.0,249.652,249.652,65.571,103.61,,1.348,71.276,32.573,13.196
016705,2020-12-31,2020,CPF,154760409,CENTRAL PACIFIC FINANCIAL CP,6594.583,6047.85,546.685,546.685,,0.0,0.0,0.0,257.616,257.616,53.852,104.794,,25.997,76.792,37.273,12.39
016709,2020-12-31,2020,MRGR,74348A566,PROSHARES MERGER ETF,,,,,,,,,,,,,,,,,
016710,2020-09-30,2020,DGII,253798102,DIGI INTERNATIONAL INC,528.682,157.182,371.5,371.5,17.171,0.0,0.0,0.0,279.271,279.271,116.0,129.894,43.765,0.899,34.478,8.411,19.299
